pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
154,0,0.0,0.0,12758,737,696,-4.32,-0.58,0
155,0,0.0,0.0,12801,744,702,-0.26,3.22,0
155,0,0.0,0.0,12843,746,694,2.12,-1.48,0
155,0,0.0,0.0,12884,749,697,4.56,-0.52,0
342,0,0.0,0.0,12932,747,696,3.44,-0.9,0
343,0,0.0,0.0,12975,742,699,-0.49,1.09,0
343,0,0.0,0.0,13016,746,696,1.25,-0.52,0
343,0,0.0,0.0,13058,739,692,-3.13,-3.57,0
343,0,0.0,0.0,13099,747,697,1.42,-0.67,0
563,0,0.0,0.0,13140,745,694,1.1,-1.9,0
564,0,0.0,0.0,13183,743,700,-0.42,1.99,0
564,0,0.0,0.0,13224,741,699,-2.11,2.12,0
564,0,0.0,0.0,13266,749,701,3.02,3.32,0
565,0,0.0,0.0,13307,747,703,2.71,4.69,0
787,0,0.0,0.0,13348,751,693,5.1,-2.09,0
788,0,0.0,0.0,13392,746,700,1.9,1.09,0
788,0,0.0,0.0,13435,744,698,-0.39,-0.31,0
789,0,0.0,0.0,13477,746,699,0.14,1.05,0
789,0,0.0,0.0,13518,738,695,-5.12,-1.39,0
895,0,0.0,0.0,13559,746,697,-0.62,-0.54,0
895,0,0.0,0.0,13602,746,701,0.56,2.41,0
895,0,0.0,0.0,13645,741,696,-2.56,-0.42,0
896,0,0.0,0.0,13686,744,697,-1.1,-0.42,0
896,0,0.0,0.0,13727,745,688,0.03,-6.44,0
1079,0,0.0,0.0,13768,745,691,0.31,-5.39,0
1079,0,0.0,0.0,13811,743,701,-0.99,2.06,0
1080,0,0.0,0.0,13853,747,698,1.46,1.74,0
1080,0,0.0,0.0,13894,748,695,2.62,-0.51,0
1080,0,0.0,0.0,13935,738,694,-4.04,-1.71,0
1387,0,0.0,0.0,13976,750,697,2.71,0.16,0
