ecg_ts,ecg,bpm,leadOff
18101,0,0,1
18117,0,0,1
18131,0,0,1
18145,0,0,1
18160,0,0,1
18175,0,0,1
18189,0,0,1
18204,0,0,1
18229,0,0,1
18244,0,0,1
18264,0,0,1
18280,0,0,1
18296,0,0,1
18310,0,0,1
18332,0,0,1
18346,0,0,1
18360,0,0,1
18381,0,0,1
18395,0,0,1
18410,0,0,1
18426,0,0,1
18441,0,0,1
18455,0,0,1
18473,0,0,1
18488,0,0,1
18502,0,0,1
18517,0,0,1
18533,0,0,1
18548,0,0,1
18563,0,0,1
18580,0,0,1
18595,0,0,1
18611,0,0,1
18626,0,0,1
18640,0,0,1
18655,0,0,1
18669,0,0,1
18684,0,0,1
18704,0,0,1
18720,0,0,1
18735,0,0,1
18754,0,0,1
18769,0,0,1
18783,0,0,1
18797,0,0,1
18811,0,0,1
18830,0,0,1
18844,0,0,1
18858,0,0,1
18882,0,0,1
18897,0,0,1
18911,0,0,1
18928,0,0,1
18944,0,0,1
18959,0,0,1
18974,0,0,1
18988,0,0,1
19003,0,0,1
19022,0,0,1
19037,0,0,1
19058,0,0,1
19073,0,0,1
19087,0,0,1
19102,0,0,1
19117,0,0,1
19133,0,0,1
19155,0,0,1
19171,0,0,1
19185,0,0,1
19199,0,0,1
19214,0,0,1
19230,0,0,1
19245,0,0,1
19259,0,0,1
19279,0,0,1
19294,0,0,1
19308,0,0,1
19323,0,0,1
19341,0,0,1
19356,0,0,1
19370,0,0,1
19384,0,0,1
19399,0,0,1
19413,0,0,1
19432,0,0,1
19451,0,0,1
19468,0,0,1
19483,0,0,1
19498,0,0,1
19513,0,0,1
19527,0,0,1
19542,0,0,1
19560,0,0,1
19575,0,0,1
19589,0,0,1
19603,0,0,1
19625,0,0,1
19642,0,0,1
19657,0,0,1
19672,0,0,1
19687,0,0,1
19701,0,0,1
19715,0,0,1
19731,0,0,1
19747,0,0,1
19762,0,0,1
19776,0,0,1
19800,0,0,1
19815,0,0,1
19829,0,0,1
19844,0,0,1
19860,0,0,1
19874,0,0,1
19888,0,0,1
19902,0,0,1
19917,0,0,1
19932,0,0,1
19947,0,0,1
19967,0,0,1
19983,0,0,1
19998,0,0,1
20012,0,0,1
20029,0,0,1
20046,0,0,1
20061,0,0,1
20075,0,0,1
20090,0,0,1
20105,0,0,1
20119,0,0,1
20133,0,0,1
20157,0,0,1
20172,0,0,1
20187,0,0,1
20203,0,0,1
20218,0,0,1
20232,0,0,1
20249,0,0,1
20265,0,0,1
20280,0,0,1
20295,0,0,1
20310,0,0,1
20325,0,0,1
20339,0,0,1
20354,0,0,1
20374,0,0,1
20389,0,0,1
20404,0,0,1
20420,0,0,1
20435,0,0,1
20449,0,0,1
20466,0,0,1
20482,0,0,1
20496,0,0,1
20510,0,0,1
20524,0,0,1
20539,0,0,1
20558,0,0,1
20573,0,0,1
20591,0,0,1
20606,0,0,1
20621,0,0,1
20636,0,0,1
20651,0,0,1
20667,0,0,1
20682,0,0,1
20697,0,0,1
20712,0,0,1
20726,0,0,1
20740,0,0,1
20754,0,0,1
20770,0,0,1
20785,0,0,1
20799,0,0,1
20821,0,0,1
20836,0,0,1
20850,0,0,1
20866,0,0,1
20881,0,0,1
20896,0,0,1
20910,0,0,1
20931,0,0,1
20946,0,0,1
20960,0,0,1
20975,0,0,1
20990,0,0,1
21005,0,0,1
21020,0,0,1
21034,0,0,1
21059,0,0,1
21075,0,0,1
21090,0,0,1
21105,0,0,1
21120,0,0,1
21134,0,0,1
21148,0,0,1
21173,0,0,1
21188,0,0,1
21202,0,0,1
21217,0,0,1
21232,0,0,1
21246,0,0,1
21260,0,0,1
21275,0,0,1
21290,0,0,1
21304,0,0,1
21318,0,0,1
21341,0,0,1
21356,0,0,1
21370,0,0,1
21386,0,0,1
21401,0,0,1
21415,0,0,1
21429,0,0,1
21444,0,0,1
21459,0,0,1
21473,0,0,1
21493,0,0,1
21513,0,0,1
21528,0,0,1
21543,0,0,1
21558,0,0,1
21573,0,0,1
21587,0,0,1
21602,0,0,1
21616,0,0,1
21631,0,0,1
21645,0,0,1
21659,0,0,1
21684,0,0,1
21699,0,0,1
21713,0,0,1
21728,0,0,1
21743,0,0,1
21757,0,0,1
21771,0,0,1
21793,0,0,1
21808,0,0,1
21822,0,0,1
21838,0,0,1
21854,0,0,1
21868,0,0,1
21882,0,0,1
21897,0,0,1
21912,0,0,1
21926,0,0,1
21940,0,0,1
21965,0,0,1
21980,0,0,1
21994,0,0,1
22009,0,0,1
22025,0,0,1
22039,0,0,1
22053,0,0,1
22078,0,0,1
22094,0,0,1
22109,0,0,1
22130,0,0,1
22145,0,0,1
22164,0,0,1
22179,0,0,1
22195,0,0,1
22210,0,0,1
22224,0,0,1
22239,0,0,1
22253,0,0,1
22267,0,0,1
22290,0,0,1
22305,0,0,1
22320,0,0,1
22335,0,0,1
22350,0,0,1
22364,0,0,1
22378,0,0,1
22392,0,0,1
22409,0,0,1
22424,0,0,1
22438,0,0,1
22463,0,0,1
22480,0,0,1
22495,0,0,1
22510,0,0,1
22531,0,0,1
22546,0,0,1
