pc_time_ms,esp_time_ms,ecg_adc,lead_off
35,410441,1913,0
35,410445,1839,0
35,410449,1826,0
35,410453,1846,0
35,410457,1827,0
35,410461,1757,0
35,410465,1721,0
35,410469,1728,0
35,410473,1754,0
35,410477,1747,0
35,410481,1705,0
35,410485,1680,0
155,410489,1711,0
155,410495,1762,0
155,410499,1750,0
156,410503,1737,0
156,410507,1739,0
156,410511,1735,0
156,410515,1767,0
156,410519,1749,0
156,410523,1701,0
156,410527,1711,0
156,410531,1769,0
156,410535,1820,0
156,410539,1797,0
156,410543,1775,0
156,410547,1791,0
156,410551,1845,0
156,410555,1853,0
156,410559,1798,0
156,410563,1758,0
156,410567,1779,0
156,410571,1826,0
156,410575,1866,0
156,410579,1856,0
156,410583,1794,0
156,410587,1785,0
156,410591,1831,0
156,410595,1869,0
156,410599,1850,0
271,410603,1809,0
271,410609,1808,0
271,410613,1869,0
271,410617,1866,0
271,410621,1826,0
271,410625,1803,0
271,410629,1807,0
271,410633,1840,0
271,410637,1819,0
271,410641,1776,0
271,410645,1763,0
271,410649,1771,0
271,410653,1796,0
271,410657,1793,0
271,410661,1748,0
271,410665,1712,0
271,410669,1733,0
271,410673,1774,0
271,410677,1813,0
272,410681,1797,0
272,410685,1776,0
272,410689,1826,0
272,410693,1930,0
272,410697,1955,0
272,410701,1890,0
272,410705,1847,0
272,410709,1872,0
272,410713,1926,0
272,410717,1915,0
390,410721,1855,0
391,410729,1893,0
391,410733,1919,0
391,410737,1873,0
391,410741,1766,0
391,410745,1706,0
391,410749,1754,0
391,410753,1808,0
391,410757,1824,0
391,410761,1762,0
391,410765,1680,0
391,410769,1680,0
391,410773,1747,0
391,410777,1766,0
391,410781,1726,0
391,410785,1678,0
391,410789,1703,0
391,410793,1776,0
391,410797,1847,0
391,410801,1808,0
391,410805,1730,0
391,410809,1730,0
391,410813,1745,0
391,410817,1747,0
391,410821,1744,0
391,410825,1734,0
391,410829,1793,0
391,410833,1857,0
391,410837,1846,0
506,410841,1887,0
506,410849,2190,0
506,410853,2499,0
506,410857,2794,0
506,410861,2978,0
506,410865,3051,0
506,410869,2985,0
506,410873,2651,0
506,410877,2023,0
506,410881,1408,0
506,410885,1075,0
506,410889,1122,0
506,410893,1357,0
506,410897,1506,0
506,410901,1505,0
506,410905,1448,0
506,410909,1507,0
506,410913,1705,0
507,410917,1802,0
507,410921,1781,0
507,410925,1728,0
507,410929,1722,0
507,410933,1775,0
507,410937,1776,0
507,410941,1730,0
507,410945,1712,0
507,410949,1750,0
507,410953,1808,0
628,410957,1798,0
628,410965,1752,0
628,410969,1825,0
628,410973,1915,0
628,410977,1885,0
628,410981,1803,0
628,410985,1775,0
628,410989,1833,0
628,410993,1878,0
628,410997,1880,0
629,411001,1827,0
629,411005,1801,0
629,411009,1855,0
629,411013,1915,0
629,411017,1958,0
629,411021,1941,0
629,411025,1904,0
629,411029,1927,0
629,411033,2000,0
629,411037,2046,0
629,411041,2045,0
629,411045,2031,0
629,411049,2068,0
629,411053,2118,0
629,411057,2147,0
629,411061,2117,0
629,411065,2112,0
629,411069,2099,0
629,411073,2144,0
746,411077,2166,0
746,411085,2125,0
746,411089,2142,0
746,411093,2126,0
747,411097,2044,0
747,411101,1932,0
747,411105,1872,0
747,411109,1872,0
747,411113,1872,0
747,411117,1847,0
747,411121,1783,0
747,411125,1712,0
748,411129,1695,0
748,411133,1731,0
748,411137,1744,0
748,411141,1714,0
748,411145,1671,0
748,411149,1658,0
748,411153,1698,0
748,411157,1742,0
748,411161,1728,0
748,411165,1714,0
748,411169,1715,0
748,411173,1738,0
748,411177,1733,0
748,411181,1683,0
748,411185,1665,0
748,411189,1702,0
749,411193,1757,0
799,411197,1779,0
799,411205,1759,0
799,411209,1791,0
799,411213,1809,0
800,411217,1785,0
800,411221,1729,0
800,411225,1733,0
800,411229,1766,0
800,411233,1779,0
800,411237,1765,0
800,411241,1730,0
800,411245,1743,0
912,411249,1781,0
912,411254,1830,0
912,411258,1769,0
912,411262,1680,0
912,411266,1654,0
912,411270,1714,0
912,411274,1792,0
913,411278,1780,0
913,411282,1714,0
913,411286,1709,0
913,411290,1783,0
913,411294,1842,0
913,411298,1834,0
913,411302,1754,0
913,411306,1716,0
914,411310,1744,0
914,411314,1806,0
914,411318,1802,0
914,411322,1789,0
914,411326,1780,0
914,411330,1793,0
914,411334,1791,0
914,411338,1787,0
914,411342,1762,0
914,411346,1767,0
914,411350,1806,0
914,411354,1839,0
914,411358,1843,0
969,411362,1840,0
969,411370,1904,0
969,411374,1945,0
969,411378,1918,0
969,411382,1835,0
969,411386,1826,0
969,411390,1871,0
969,411394,1919,0
970,411398,1923,0
970,411402,1876,0
970,411406,1824,0
970,411410,1827,0
970,411414,1867,0
970,411418,1850,0
1046,411423,1767,0
1047,411427,1730,0
1047,411431,1770,0
1047,411435,1790,0
1047,411439,1748,0
1047,411443,1688,0
1047,411447,1710,0
1047,411451,1776,0
1047,411455,1815,0
1047,411459,1776,0
1047,411463,1701,0
1047,411467,1679,0
1047,411471,1722,0
1048,411475,1744,0
1048,411479,1726,0
1048,411483,1702,0
1048,411487,1712,0
1048,411491,1758,0
1048,411495,1776,0
1161,411500,1727,0
1161,411504,1715,0
1161,411508,1767,0
1161,411512,1882,0
1161,411516,1977,0
1161,411520,2089,0
1161,411524,2336,0
1161,411528,2683,0
1161,411532,2966,0
1161,411536,3051,0
1161,411540,2936,0
1161,411544,2641,0
1161,411548,2135,0
1161,411552,1535,0
1161,411556,1140,0
1161,411560,1002,0
1161,411564,1111,0
1161,411568,1333,0
1161,411572,1472,0
1161,411576,1493,0
1161,411580,1458,0
1162,411584,1472,0
1162,411588,1601,0
1162,411592,1730,0
1162,411596,1744,0
1162,411600,1663,0
1162,411604,1608,0
1162,411608,1650,0
1214,411612,1733,0
1214,411620,1712,0
1214,411624,1695,0
1214,411628,1662,0
1214,411632,1674,0
1214,411636,1703,0
1214,411640,1698,0
1214,411644,1691,0
1214,411648,1693,0
1214,411652,1709,0
1215,411656,1727,0
1215,411660,1721,0
1215,411664,1699,0
1330,411668,1706,0
1330,411673,1748,0
1330,411677,1727,0
1330,411681,1661,0
1330,411685,1651,0
1331,411689,1721,0
1331,411693,1794,0
1331,411697,1808,0
1331,411701,1791,0
1331,411705,1763,0
1331,411709,1776,0
1331,411713,1822,0
1331,411717,1839,0
1331,411721,1818,0
1331,411725,1776,0
1331,411729,1802,0
1331,411733,1850,0
1331,411737,1904,0
1331,411741,1930,0
1332,411745,1902,0
1332,411749,1844,0
1332,411753,1840,0
1332,411757,1834,0
1332,411761,1811,0
1332,411765,1767,0
1332,411769,1735,0
1332,411773,1691,0
1332,411777,1611,0
1387,411781,1520,0
1388,411789,1481,0
1388,411793,1473,0
1388,411797,1362,0
1388,411801,1264,0
1388,411805,1243,0
1388,411809,1297,0
1388,411813,1310,0
1388,411817,1233,0
1388,411821,1175,0
1388,411825,1200,0
1388,411829,1264,0
1388,411833,1307,0
1388,411837,1306,0
1504,411842,1233,0
1504,411847,1233,0
1504,411851,1321,0
1504,411855,1360,0
1504,411859,1357,0
1504,411863,1331,0
1504,411867,1289,0
1504,411871,1290,0
1504,411875,1298,0
1504,411879,1277,0
1504,411883,1274,0
1504,411887,1322,0
1504,411891,1379,0
1504,411895,1410,0
1504,411899,1385,0
1504,411903,1299,0
