pc_time_ms,emg_timestamp,raw_adc,clean_emg,envelope
47003,734,1751,525.3,26.27
47004,739,1747,876.58,68.78
47004,742,1744,1108.16,120.75
47004,744,1754,1262.44,177.83
47004,746,1769,1367.05,237.3
47004,748,1776,1437.62,297.31
47005,750,1781,1486.86,356.79
47005,752,1768,1518.48,414.87
47006,755,1735,1533.99,470.83
47006,757,1712,1542.77,524.43
47006,759,1689,1547.32,575.57
47006,761,1667,1548.71,624.23
47007,763,1673,1554.86,670.76
47007,765,1722,1574.82,715.96
47007,767,1785,1605.4,760.43
47008,769,1829,1634.18,804.12
47008,771,1855,1653.13,846.57
47008,773,1855,1654.89,886.99
47009,775,1836,1637.3,924.5
47009,777,1806,1602.3,958.39
47010,779,1775,1555.18,988.23
47010,782,1746,1501.42,1013.89
47010,786,1733,1449.72,1035.68
47011,788,1727,1403.88,1054.09
47011,790,1718,1363.79,1069.58
47011,792,1735,1338.17,1083.01
47011,794,1705,1310.79,1094.4
47012,796,1718,1297.32,1104.54
47012,798,1731,1294.84,1114.06
47012,800,1745,1300.91,1123.4
47013,802,1741,1307.37,1132.6
47013,804,1743,1315.17,1141.73
47013,806,1745,1322.48,1150.77
47014,809,1750,1328.46,1159.65
47014,811,1766,1334.64,1168.4
47014,813,1787,1340.11,1176.99
47015,815,1796,1339.31,1185.1
47015,817,1790,1327.91,1192.24
47015,819,1769,1303.56,1197.81
47016,821,1742,1268.09,1201.32
47016,823,1707,1222.85,1202.4
47016,825,1667,1170.38,1200.8
47047,828,1646,1120.17,1196.77
47059,844,1727,1103.96,1192.13
47059,846,1725,1087.72,1186.91
47059,848,1727,1074.58,1181.29
47060,850,1712,1060.23,1175.24
47065,852,1695,1046.02,1168.78
47067,855,1695,1038.19,1162.25
47071,857,1689,1033.5,1155.81
47073,859,1691,1033.38,1149.69
47077,861,1709,1040.61,1144.23
47082,863,1727,1051.74,1139.61
47086,865,1726,1058.31,1135.54
47088,867,1720,1058.59,1131.7
47088,869,1717,1053.81,1127.8
47089,871,1713,1043.72,1123.6
47090,873,1711,1029.34,1118.89
47091,875,1725,1015.96,1113.74
47091,877,1730,1000.09,1108.06
47091,879,1728,980.49,1101.68
47091,881,1720,957.14,1094.45
47096,883,1706,930.48,1086.25
47100,887,1685,900.87,1076.98
47103,890,1679,875.38,1066.9
47104,900,1683,857.3,1056.42
47106,902,1681,843.94,1045.8
47114,904,1696,840.06,1035.51
47115,906,1703,841.01,1025.79
47116,908,1716,847.39,1016.87
47116,910,1751,863.93,1009.22
47117,912,1775,883.47,1002.93
47117,914,1774,896.58,997.61
47117,916,1771,903.56,992.91
47118,918,1762,903.35,988.43
47118,921,1744,894.33,983.73
47118,923,1731,879.76,978.53
47118,925,1712,858.77,972.54
47119,927,1679,828.68,965.35
47119,931,1666,798.22,956.99
47119,933,1681,776.06,947.95
47119,935,1712,764.7,938.78
47119,937,1731,757.66,929.73
47144,939,1732,748.94,920.69
47144,944,1693,728.08,911.06
47146,949,1745,727.43,901.88
47148,952,1778,735.78,893.57
47148,954,1787,743.83,886.08
47149,956,1776,746.3,879.1
47149,958,1753,741.82,872.23
47149,960,1734,734.01,865.32
47150,962,1714,723.57,858.23
47150,964,1703,713.66,851.0
47150,966,1708,708.27,843.87
47151,968,1714,705.36,836.94
47151,970,1730,706.09,830.4
47151,972,1750,709.45,824.35
47151,974,1749,707.31,818.5
47152,976,1744,699.5,812.55
47152,978,1743,688.62,806.35
47152,981,1750,677.96,799.93
47152,983,1748,664.97,793.19
47153,985,1755,653.61,786.21
47153,987,1773,647.41,779.27
47198,989,1759,635.99,772.1
47199,993,1714,612.75,764.14
47199,998,1678,585.28,755.19
47199,1000,1678,566.76,745.77
47199,1003,1698,561.02,736.53
47200,1005,1717,564.0,727.91
47200,1007,1742,574.67,720.25
