ts,red_raw,ir_raw,red_f,ir_f,bpm,spo2
27755,1152439,1413715,83.02,210.96,0.0,100
27777,1152446,1413728,81.45,209.14,0.0,100
27798,1152419,1413707,80.09,207.04,0.0,100
27819,1152462,1413739,77.84,203.29,0.0,100
27841,1152476,1413784,75.37,198.15,0.0,100
27862,1152485,1413795,73.96,194.83,0.0,100
27883,1152453,1413820,75.2,195.5,0.0,100
27914,1152504,1413954,76.95,197.24,0.0,100
27936,1152527,1413958,80.16,202.4,0.0,100
27959,1152530,1414017,84.52,209.1,0.0,100
27982,1152561,1414014,89.43,217.67,0.0,100
28003,1152697,1414339,92.93,222.68,0.0,100
28024,1152695,1414346,97.43,229.95,0.0,100
28045,1152695,1414337,101.59,236.77,0.0,100
28066,1152689,1414340,104.89,241.93,0.0,100
28096,1152761,1414508,106.69,244.23,0.0,100
28117,1152706,1414360,109.04,248.49,0.0,100
28139,1152759,1414494,110.38,250.71,0.0,100
28164,1152776,1414498,111.16,252.95,0.0,100
28186,1152987,1415052,109.91,249.12,0.0,100
28207,1153006,1415070,109.46,247.24,0.0,100
28228,1153022,1415067,109.16,245.44,0.0,100
28249,1153008,1415079,108.74,242.31,0.0,100
28270,1153095,1415130,106.82,237.47,0.0,100
28300,1153109,1415283,104.44,229.81,0.0,100
28322,1153085,1415278,101.32,220.71,0.0,100
28344,1153123,1415253,97.0,210.43,0.0,100
28368,1153092,1415320,92.49,198.62,0.0,100
28389,1153093,1415284,88.47,188.81,0.0,100
28410,1153086,1415319,85.14,180.11,0.0,100
28431,1153046,1415269,82.67,173.4,0.0,100
28452,1153085,1415363,79.69,166.19,0.0,100
28484,1153168,1415448,75.04,157.21,0.0,100
28506,1153175,1415436,69.27,145.2,0.0,100
28527,1153165,1415466,61.53,127.81,0.0,100
28549,1153254,1415691,51.3,105.02,0.0,100
28573,1153254,1415722,40.8,82.28,0.0,100
28594,1153226,1415699,30.34,60.35,0.0,100
28615,1153253,1415669,19.21,38.75,0.0,100
28636,1153238,1415674,8.64,17.25,0.0,100
28657,1153392,1415962,-2.58,-5.77,0.0,100
28686,1153373,1415991,-11.47,-25.08,0.0,100
28707,1153413,1416011,-18.62,-40.45,0.0,100
28729,1153437,1416250,-24.17,-55.19,0.0,100
28753,1153493,1416324,-28.52,-66.43,0.0,100
28776,1153507,1416288,-31.47,-73.76,0.0,100
28797,1153518,1416338,-33.87,-79.56,0.0,100
28821,1153531,1416353,-36.11,-83.66,0.0,100
28843,1153711,1416754,-39.67,-90.33,0.0,100
28865,1153727,1416766,-41.8,-94.04,0.0,100
28886,1153723,1416786,-42.56,-95.77,0.0,100
28907,1153742,1416777,-42.5,-95.66,0.0,100
28927,1153882,1417178,-42.66,-97.04,0.0,100
28949,1153882,1417176,-40.42,-92.46,0.0,100
28980,1153906,1417201,-38.58,-87.06,0.0,100
29002,1153890,1417195,-37.22,-83.61,0.0,100
29023,1153712,1416800,-32.36,-72.48,103.4,100
29046,1153741,1416833,-30.02,-67.57,102.8,100
29067,1153743,1416822,-25.31,-58.2,99.6,100
29088,1153723,1416830,-20.7,-49.47,96.8,100
29109,1153904,1417216,-19.72,-48.65,94.6,100
29130,1153911,1417251,-18.52,-46.7,93.1,100
29151,1153913,1417241,-16.9,-42.75,91.8,100
29182,1153921,1417273,-18.03,-44.96,90.6,99.9
29204,1154129,1417771,-23.74,-57.0,89.6,99.9
29226,1154155,1417761,-27.93,-65.03,88.9,99.9
29248,1154173,1417775,-33.33,-75.59,88.2,99.5
29269,1154169,1417802,-39.96,-90.36,87.7,99.6
29289,1154370,1418240,-48.53,-109.36,84.8,99.6
29310,1154359,1418240,-53.67,-120.99,82.5,99.6
29332,1154387,1418255,-52.88,-118.82,88.2,99.2
29362,1154397,1418275,-48.89,-109.32,87.5,99.0
29384,1154669,1419055,-44.4,-101.11,86.9,99.5
29406,1154693,1419053,-38.17,-86.82,86.4,99.5
29427,1154712,1419082,-30.95,-70.91,86.3,99.4
29448,1154711,1419063,-23.95,-55.67,91.2,99.4
29470,1155016,1419850,-19.98,-48.55,91.2,99.8
29491,1155000,1419854,-14.32,-37.2,91.2,99.8
29512,1155047,1419877,-8.65,-24.15,91.2,99.6
29533,1155044,1419887,-4.02,-13.04,91.2,99.5
29564,1155384,1420753,-2.28,-9.09,91.2,99.8
29586,1155401,1420779,1.64,1.87,91.2,99.5
29608,1155419,1420807,7.7,18.0,91.2,99.4
29630,1155408,1420842,13.84,33.74,95.2,99.5
29650,1155746,1421633,16.67,42.05,95.2,99.9
29671,1155751,1421667,21.32,55.24,95.2,99.8
29692,1155752,1421661,27.26,70.88,98.4,99.8
29713,1155754,1421663,32.53,83.94,98.7,100.0
29744,1155453,1421008,41.41,105.49,88.8,100
29765,1155463,1421034,47.0,119.59,80.7,100
29787,1155471,1421047,52.2,132.45,74.3,100
29809,1155500,1421066,54.72,139.48,68.9,100
29831,1155475,1421061,55.96,142.72,64.7,100
29851,1155706,1421636,53.66,138.06,61.4,100
29872,1155720,1421654,51.33,132.79,58.8,100
29893,1155717,1421652,45.8,120.7,56.7,100
29914,1155734,1421686,38.22,103.14,55.1,100
29946,1155847,1421957,26.32,75.37,53.7,100
29967,1155835,1421993,11.9,40.6,52.7,100
29989,1155830,1421982,-5.51,-1.23,51.8,100
30011,1155838,1421958,-24.14,-45.44,51.1,100
30033,1155849,1422014,-40.33,-84.46,50.6,100
30054,1155851,1422045,-51.51,-111.58,50.1,100
30075,1155844,1422034,-55.94,-122.71,49.8,100
30096,1155846,1422018,-55.85,-123.07,49.5,100
30127,1155920,1422190,-53.77,-119.06,49.3,100
30149,1155915,1422193,-50.98,-113.14,49.1,100
30170,1155908,1422178,-48.22,-107.53,49.0,100
30192,1155870,1422160,-46.59,-105.36,48.8,100
30215,1155710,1421656,-44.87,-100.62,48.8,100
30236,1155696,1421610,-45.25,-101.32,48.8,100
30257,1155692,1421581,-46.3,-103.47,48.9,100
30278,1155693,1421580,-47.95,-107.64,49.0,100
30299,1155662,1421517,-49.22,-111.68,49.0,100
30326,1155373,1420930,-46.26,-106.94,49.0,100
30348,1155405,1420904,-47.08,-109.59,49.1,100
30369,1155393,1420932,-48.46,-115.1,49.1,100
30391,1155068,1420119,-47.33,-114.01,49.1,100
30413,1155017,1420069,-49.2,-121.54,49.3,100
30435,1155010,1420049,-52.96,-132.94,57.1,100
30456,1154995,1419991,-58.51,-148.04,63.3,100
30477,1154986,1419998,-65.25,-166.75,68.3,100
30507,1154758,1419497,-69.8,-180.17,72.3,100
30529,1154792,1419482,-77.01,-198.48,75.5,100
30550,1154764,1419504,-82.99,-214.1,78.0,100
30572,1154705,1419340,-88.7,-226.53,80.1,100
30593,1154704,1419298,-95.11,-240.03,81.7,100
30617,1154748,1419286,-101.73,-252.01,81.7,100
30639,1154697,1419275,-105.42,-259.68,81.7,100
30668,1154519,1418862,-105.14,-258.21,81.7,100
30690,1154513,1418812,-103.76,-253.42,81.7,100
30711,1154559,1418781,-101.65,-244.84,81.7,100
30734,1154428,1418762,-94.43,-228.78,81.7,100
30759,1154505,1418756,-86.49,-208.98,81.7,100
30782,1154450,1418685,-77.72,-189.24,81.7,100
30806,1154451,1418688,-68.11,-167.44,81.7,100
30829,1154457,1418672,-56.82,-141.95,81.7,100
30851,1154497,1418764,-45.1,-115.36,81.7,100
30872,1154500,1418801,-33.36,-89.45,81.7,100
30893,1154523,1418754,-23.5,-66.1,81.7,100
30915,1154510,1418772,-14.37,-45.28,81.7,100
30936,1154467,1418744,-5.24,-23.76,81.7,100
30957,1154439,1418683,3.32,-3.32,81.7,100
30978,1154450,1418639,11.62,18.36,81.7,100
30999,1154434,1418629,21.35,43.13,81.7,100
