ts,red_raw,ir_raw
62473,0,0
62491,0,0
62506,0,0
62520,0,0
62534,0,0
62548,0,0
62563,0,0
62578,0,0
62593,0,0
62607,0,0
62621,0,0
62635,0,0
62649,0,0
62664,0,0
62684,0,0
62699,0,0
62712,0,0
62727,0,0
62741,0,0
62756,0,0
62770,0,0
62785,0,0
62800,0,0
62814,0,0
62828,0,0
62842,0,0
62856,0,0
63000,0,0
63015,0,0
63028,0,0
63044,0,0
63059,0,0
63073,0,0
63089,0,0
63103,0,0
63117,0,0
63131,0,0
63145,0,0
63159,0,0
63179,0,0
63194,0,0
63208,0,0
63223,0,0
63237,0,0
63251,0,0
63266,0,0
63280,0,0
63295,0,0
63309,0,0
63323,0,0
63336,0,0
63351,0,0
63370,0,0
63386,0,0
63401,0,0
63415,0,0
63431,0,0
63445,0,0
63458,0,0
63473,0,0
63490,0,0
63505,0,0
63518,0,0
63532,0,0
63546,0,0
63566,0,0
63589,0,0
63604,0,0
63618,0,0
63632,0,0
63648,0,0
63662,0,0
63676,0,0
63691,0,0
63705,0,0
63720,0,0
63733,0,0
63747,0,0
63768,0,0
63840,0,0
63854,0,0
63868,0,0
63884,0,0
63899,0,0
63913,0,0
63927,0,0
63941,0,0
63955,0,0
63970,0,0
63983,0,0
63998,0,0
64019,0,0
66199,0,0
66213,0,0
66228,0,0
66242,0,0
66258,0,0
66272,0,0
66286,0,0
66300,0,0
66314,0,0
66328,0,0
66343,0,0
66358,0,0
66379,0,0
66394,0,0
66409,0,0
66423,0,0
66439,0,0
66454,0,0
66469,0,0
66483,0,0
66497,0,0
66511,0,0
66525,0,0
66539,0,0
66554,0,0
66574,0,0
68522,0,0
68536,0,0
68550,0,0
68565,0,0
68580,0,0
68595,0,0
68610,0,0
68624,0,0
68638,0,0
68652,0,0
68666,0,0
68680,0,0
68701,0,0
68716,0,0
68731,0,0
68745,0,0
68759,0,0
68775,0,0
68791,0,0
68808,0,0
68821,0,0
68835,0,0
68849,0,0
68863,0,0
68877,0,0
68892,0,0
68937,0,0
68951,0,0
68965,0,0
68980,0,0
68996,0,0
69012,0,0
69026,0,0
69040,0,0
69054,0,0
69069,0,0
69082,0,0
69096,0,0
69117,0,0
69385,0,0
69399,0,0
69414,0,0
69429,0,0
69444,0,0
69457,0,0
69471,0,0
69486,0,0
69499,0,0
69513,0,0
69528,0,0
69543,0,0
69563,0,0
69600,0,0
69615,0,0
69629,0,0
69643,0,0
69657,0,0
69674,0,0
69689,0,0
69702,0,0
69716,0,0
69731,0,0
69746,0,0
69760,0,0
69780,0,0
75268,0,0
75282,0,0
75296,0,0
75311,0,0
75326,0,0
75339,0,0
75354,0,0
75369,0,0
75383,0,0
75397,0,0
75414,0,0
75429,0,0
75449,0,0
75464,0,0
75478,0,0
75493,0,0
75507,0,0
75521,0,0
75535,0,0
75549,0,0
75567,0,0
75581,0,0
75595,0,0
75609,0,0
75624,0,0
75642,0,0
75667,0,0
75681,0,0
75695,0,0
75710,0,0
75724,0,0
75738,0,0
75753,0,0
75767,0,0
75783,0,0
75798,0,0
75811,0,0
75825,0,0
75843,0,0
75873,0,0
75887,0,0
75901,0,0
75916,0,0
75930,0,0
75944,0,0
75958,0,0
75977,0,0
75992,0,0
76008,0,0
76021,0,0
76038,0,0
76052,0,0
76066,0,0
76081,0,0
76095,0,0
76109,0,0
76123,0,0
76138,0,0
76154,0,0
76167,0,0
76189,0,0
76202,0,0
76216,0,0
76232,0,0
76248,0,0
76262,0,0
76277,0,0
76292,0,0
76306,0,0
76320,0,0
76334,0,0
76348,0,0
76362,0,0
76384,0,0
76413,0,0
76427,0,0
76441,0,0
76456,0,0
76472,0,0
76487,0,0
76502,0,0
76515,0,0
76529,0,0
76543,0,0
76557,0,0
76571,0,0
76592,0,0
76606,0,0
76620,0,0
76635,0,0
76650,0,0
76663,0,0
76677,0,0
76692,0,0
76706,0,0
76720,0,0
76734,0,0
76749,0,0
76762,0,0
76783,0,0
76799,0,0
76814,0,0
