ts,red_raw,ir_raw,led_current
26129,1435258,1711052,35
26144,1435215,1710923,35
26159,1435230,1710945,35
26173,1435217,1710942,35
26187,1435208,1710921,35
26202,1435215,1710882,35
26222,1435217,1710943,35
26237,1435181,1710929,35
26255,1435242,1711089,35
26270,1435262,1711107,35
26285,1435269,1711089,35
26299,1435264,1711112,35
26316,1435257,1711168,35
26331,1435300,1711384,35
26346,1435326,1711412,35
26361,1435343,1711415,35
26375,1435332,1711421,35
26389,1435368,1711418,35
26406,1435334,1711400,35
26421,1435370,1711423,35
26436,1435398,1711506,35
26450,1435385,1711504,35
26471,1435366,1711528,35
26486,1435366,1711532,35
26500,1435385,1711522,35
26516,1435386,1711537,35
26532,1435384,1711549,35
26546,1435310,1711391,35
26560,1435283,1711310,35
26580,1435246,1711227,35
26596,1435249,1711156,35
26611,1435221,1711132,35
26627,1435197,1711048,35
26643,1434883,1710306,35
26658,1434883,1710307,35
26672,1434902,1710316,35
26686,1434905,1710342,35
26701,1434895,1710311,35
26719,1434917,1710326,35
26734,1435019,1710685,35
26748,1435053,1710697,35
26765,1434993,1710668,35
26780,1435034,1710681,35
26794,1435019,1710719,35
26809,1435041,1710693,35
26831,1435018,1710705,35
26846,1435057,1710812,35
26861,1435045,1710775,35
26875,1435046,1710773,35
26890,1435051,1710747,35
26905,1435035,1710758,35
26919,1435030,1710720,35
26945,1434945,1710692,35
26960,1435061,1710707,35
26974,1435023,1710712,35
26988,1435013,1710715,35
27004,1435015,1710709,35
27019,1435024,1710737,35
27035,1435110,1711002,35
27054,1435078,1711003,35
27069,1435109,1711023,35
27083,1435126,1711031,35
27104,1435101,1711013,35
27120,1435118,1711031,35
27135,1435120,1711063,35
27150,1435195,1711220,35
27166,1435178,1711229,35
27181,1435184,1711223,35
27195,1435160,1711265,35
27210,1435194,1711219,35
27232,1435199,1711309,35
27247,1435198,1711296,35
27261,1435215,1711310,35
27276,1435202,1711314,35
27291,1435204,1711339,35
27305,1435193,1711320,35
27319,1435231,1711362,35
27343,1435047,1710874,35
27358,1434991,1710811,35
27372,1434966,1710723,35
27386,1434956,1710682,35
27401,1434946,1710624,35
27415,1434884,1710581,35
27429,1434897,1710478,35
27445,1434743,1710169,35
27461,1434760,1710134,35
27475,1434733,1710170,35
27489,1434760,1710155,35
27503,1434742,1710172,35
27519,1434803,1710192,35
27533,1434885,1710470,35
27548,1434873,1710469,35
27564,1434835,1710470,35
27578,1434892,1710487,35
27592,1434887,1710487,35
27613,1434870,1710493,35
27628,1434870,1710450,35
27642,1434866,1710510,35
27657,1434879,1710508,35
27672,1434854,1710497,35
27686,1434854,1710501,35
27700,1434815,1710478,35
27720,1434830,1710448,35
27735,1434837,1710466,35
27749,1434869,1710473,35
27765,1434868,1710466,35
27781,1434866,1710451,35
27796,1434831,1710489,35
27810,1434868,1710483,35
27824,1434935,1710689,35
27840,1434912,1710675,35
27858,1434913,1710701,35
27873,1434927,1710708,35
27893,1434926,1710732,35
27909,1434938,1710718,35
27924,1434953,1710844,35
27940,1434968,1710855,35
27955,1434946,1710809,35
27970,1434971,1710831,35
27985,1434966,1710830,35
28001,1434952,1710830,35
28016,1434952,1710815,35
28031,1434973,1710924,35
28046,1434970,1710860,35
28063,1434996,1710948,35
28078,1434961,1710912,35
28092,1434975,1710935,35
28111,1434771,1710441,35
28126,1434782,1710394,35
28140,1434757,1710373,35
28161,1434758,1710299,35
28177,1434730,1710216,35
28191,1434693,1710154,35
28210,1434692,1710132,35
28226,1434575,1709879,35
28241,1434616,1709922,35
28261,1434595,1709921,35
28276,1434608,1709935,35
28291,1434579,1709942,35
28305,1434585,1709964,35
28319,1434664,1710209,35
28334,1434682,1710251,35
28348,1434676,1710189,35
28366,1434687,1710261,35
28382,1434689,1710257,35
28396,1434694,1710258,35
28410,1434694,1710258,35
28424,1434659,1710128,35
28439,1434632,1710132,35
28453,1434640,1710130,35
28469,1434629,1710120,35
28484,1434670,1710100,35
28499,1434613,1710115,35
28513,1434674,1710195,35
