pc_time_ms,red_raw,ir_raw,red_filtered,ir_filtered,esp_ts
269,809,907,-0.5,-4.39,16893
269,806,911,-2.31,-3.05,16933
270,811,913,0.8,-1.11,16973
270,806,915,-1.85,0.81,17013
271,814,915,3.02,1.23,17053
473,805,910,-2.07,-2.14,17093
473,807,912,-1.82,-1.45,17133
473,804,922,-3.63,5.57,17173
473,808,914,-1.08,1.48,17213
474,808,906,-0.35,-5.06,17253
677,809,914,0.53,-0.89,17293
677,809,902,0.71,-7.84,17333
678,831,912,15.51,-2.19,17373
678,815,922,7.14,6.14,17413
678,809,909,0.4,-1.04,17453
678,803,906,-5.37,-4.77,17493
874,803,911,-6.36,-1.94,17533
874,814,911,1.33,-1.06,17573
874,807,912,-1.56,-0.08,17613
875,809,909,-0.81,-1.85,17653
875,811,907,0.79,-3.48,17693
1087,805,916,-2.91,2.46,17733
1088,814,917,2.46,4.42,17773
1088,804,922,-3.13,7.9,17813
1088,815,911,3.14,0.7,17853
1088,806,917,-1.61,2.88,17893
1291,796,914,-9.4,1.16,17933
1292,803,909,-5.85,-2.74,17973
1292,792,915,-11.87,0.56,18013
1292,804,920,-4.3,4.7,18053
1292,804,914,-2.03,1.31,18093
1496,809,905,2.07,-5.71,18133
1497,808,913,2.25,-1.61,18173
1497,816,906,7.49,-5.15,18213
1497,809,910,3.46,-2.92,18253
1497,804,912,-1.21,-0.76,18293
1702,803,915,-2.95,1.86,18333
1702,805,916,-1.79,3.04,18373
1702,797,908,-6.73,-2.31,18413
1703,806,914,-1.35,0.58,18453
1703,803,907,-1.9,-3.45,18493
1874,805,908,-0.53,-3.5,18533
1874,812,898,4.57,-9.95,18573
1874,795,904,-5.98,-6.69,18613
1875,803,913,-2.74,0.75,18653
1875,801,907,-3.04,-1.48,18693
2048,795,916,-6.9,4.14,18733
2048,801,907,-3.24,-0.86,18773
2048,808,911,2.66,0.66,18813
2048,786,906,-10.89,-2.39,18853
2049,781,891,-16.74,-13.05,18893
2316,760,876,-30.93,-24.72,18933
2316,741,891,-44.67,-15.46,18973
2316,748,878,-39.63,-20.58,19013
2316,749,872,-34.35,-24.17,19053
2316,750,872,-29.44,-23.03,19093
2316,742,881,-31.11,-14.74,19133
2521,735,882,-33.61,-10.74,19173
2521,751,872,-20.63,-15.56,19213
2522,747,873,-18.32,-14.78,19253
2522,748,874,-15.52,-12.66,19293
2522,745,885,-15.53,-3.66,19333
2725,750,876,-10.85,-7.15,19373
2725,741,877,-14.82,-6.75,19413
2726,744,869,-12.54,-11.46,19453
2726,749,876,-7.55,-6.96,19493
2726,750,866,-4.98,-11.98,19533
2931,750,879,-3.92,-3.47,19573
2931,746,875,-6.01,-3.74,19613
2931,749,877,-4.01,-2.14,19653
2931,752,877,-1.15,-1.56,19693
2932,752,878,-0.33,-0.61,19733
3077,742,885,-6.83,4.39,19773
3077,735,928,-12.6,34.22,19813
3077,733,929,-14.33,39.49,19853
3077,651,784,-68.75,-60.13,19893
3078,659,790,-71.22,-76.01,19933
3442,654,748,-69.19,-101.85,19973
3443,642,753,-70.91,-96.37,20013
3443,623,682,-78.14,-134.64,20053
3443,618,688,-76.72,-128.84,20093
3443,616,659,-71.23,-136.02,20133
3749,604,656,-71.91,-128.35,20173
3749,622,655,-53.89,-116.25,20213
3750,623,663,-44.14,-98.01,20253
3750,628,690,-34.6,-66.98,20293
3750,631,690,-27.26,-53.53,20333
3751,672,722,4.48,-24.09,20373
3751,667,724,8.71,-13.32,20413
3751,675,727,14.41,-7.47,20453
3751,678,756,16.65,14.15,20493
3751,688,749,22.54,13.67,20533
3752,684,754,19.42,15.76,20573
3954,694,756,23.73,16.3,20613
3954,634,605,-17.59,-86.59,20653
3955,642,602,-21.09,-107.12,20693
3955,638,570,-22.87,-124.76,20733
4159,629,567,-27.45,-120.67,20773
4160,640,576,-18.87,-103.39,20813
4160,637,586,-17.15,-83.59,20853
4160,634,555,-17.28,-92.42,20893
4160,639,555,-12.49,-86.83,20933
4161,633,551,-14.27,-80.79,20973
4269,625,561,-18.9,-65.71,21013
4270,630,560,-15.1,-57.05,21053
4270,608,531,-27.68,-69.58,21093
4270,603,526,-31.86,-70.21,21133
4270,576,458,-48.4,-110.21,21173
4475,587,452,-41.05,-114.98,21213
4476,578,440,-41.8,-114.54,21253
4476,577,447,-39.13,-100.04,21293
4476,578,446,-34.48,-88.63,21333
4477,581,448,-28.38,-76.93,21373
4536,562,442,-37.24,-71.53,21413
4680,563,437,-35.65,-67.5,21453
4680,551,432,-40.31,-64.15,21493
4681,545,424,-42.12,-63.28,21533
4681,541,419,-41.71,-61.08,21573
4979,552,424,-30.67,-52.0,21613
4979,548,431,-28.01,-40.62,21653
4979,562,437,-15.55,-30.29,21693
4980,562,435,-11.11,-26.48,21733
4980,591,462,10.47,-5.12,21773
5183,584,469,10.29,5.39,21813
5183,625,501,36.97,29.11,21853
5184,628,505,42.57,35.3,21893
5184,702,582,90.19,85.7,21933
5184,713,591,101.93,97.17,21973
5388,976,864,273.3,275.61,22013
5388,979,880,295.25,307.89,22053
5388,1918,1712,907.9,850.04,22093
5389,1949,1739,1005.85,932.49,22133
5389,4402,3486,2596.7,2050.4,22173
5555,4555,3609,2879.62,2240.58,22213
5555,4723,3739,2820.46,2186.54,22253
5556,15434,12203,9777.46,7685.8,22293
5556,16320,12854,11294.08,8855.05,22333
5556,600621,595433,404043.25,400563.94,22373
5798,600778,595727,468595.81,465241.5,22413
5798,603296,600333,446906.78,445272.81,22453
5798,603334,600415,403733.94,402699.44,22493
5798,603925,601779,359188.19,358911.88,22533
5799,603925,601808,317663.12,317620.0,22573
5799,604030,602146,280475.0,280650.84,22613
6002,604032,602159,247447.73,247671.11,22653
6003,604136,602264,218323.67,218540.75,22693
6005,604121,602260,192559.55,192764.08,22733
6006,604109,602263,169817.31,170011.53,22773
6006,604225,602341,149840.95,149990.69,22813
6207,604233,602347,132173.8,132298.34,22853
6207,604265,602451,116594.91,116751.13,22893
6208,604268,602457,102836.74,102989.77,22933
6208,604232,602458,90671.66,90835.77,22973
6208,604234,602457,79959.67,80110.68,23013
6412,604255,602505,70530.1,70683.29,23053
6413,604248,602507,62200.25,62347.12,23093
