red_raw,red_final (Filtered),ir_raw,ir_final (Filtered)
479,-85.05,432,-80.58
465,-86.56,439,-70.63
634,34.13,702,114.87
632,60.2,705,153.75
425,-77.69,347,-90.47
434,-99.68,353,-140.09
412,-111.58,345,-146.09
411,-105.82,338,-139.97
413,-94.09,332,-130.65
411,-84.54,336,-114.58
414,-72.98,329,-105.58
415,-63.24,338,-88.34
419,-52.76,326,-84.63
413,-49.71,338,-68.47
439,-27.25,354,-47.86
445,-15.27,350,-41.34
442,-12.99,351,-35.53
612,103.12,517,80.67
611,122.87,520,105.04
2111,1127.18,1711,904.01
2189,1336.54,1762,1062.51
8750,5692.72,5360,3434.53
8754,6307.9,5378,3751.87
9396,6361.59,5606,3668.05
9464,5883.41,5642,3361.37
10464,5939.51,6272,3424.51
10568,5521.83,6322,3184.72
11394,5506.54,6946,3275.53
11360,5014.62,6956,3028.34
11148,4324.81,7194,2870.67
11162,3795.73,7222,2607.44
11184,3357.08,7227,2324.45
12214,3656.72,8061,2618.46
12452,3583.22,8183,2553.18
13658,4073.89,8471,2514.97
13677,3865.67,8481,2299.65
17660,6168.0,11081,3801.52
17921,6400.51,11282,3992.64
31836,15285.05,21019,10257.79
32020,16347.66,21147,11049.93
591248,391678.06,319370,211064.3
591689,453094.28,319998,243860.12
603018,437858.72,596946,417918.44
603036,397056.66,596994,426333.91
604531,354278.53,599730,394271.5
604609,313664.44,599860,353003.5
604658,277005.03,599964,312893.69
605332,244856.02,600579,276807.03
605312,216087.81,600542,244339.89
604499,190064.78,599132,214599.73
604441,167437.31,599040,188943.72
602660,146413.95,597197,165301.59
602627,128745.88,597136,145361.72
599568,111375.67,593621,125710.61
599485,97550.89,593533,110098.99
597801,84706.23,591611,95585.55
597799,74324.95,591592,83854.86
597418,65183.8,590852,73328.28
597392,57365.16,590814,64465.78
596685,50080.59,589690,56038.63
596691,44025.41,589690,49189.36
596698,38791.07,589679,43307.27
596243,33893.89,588909,37653.93
596235,29795.93,588897,33045.89
596749,26596.27,589109,29240.31
596767,23558.43,589151,25843.18
596826,20845.43,589152,22807.99
596827,18404.1,589149,20117.3
596477,16000.98,588755,17477.2
596477,14046.06,588760,15341.44
596329,12269.17,588538,13359.86
596311,10774.54,588527,11726.47
595574,8993.1,587739,9795.37
