pc_time_ms,emg_raw,emg_clean,emg_envelope,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
119,0,0.0,0.0,106375,757,674,2.34,-0.27,0
119,0,0.0,0.0,106489,751,671,-0.58,-0.6,0
324,0,0.0,0.0,106602,751,665,-0.29,-4.78,0
324,0,0.0,0.0,106715,748,670,-3.24,-0.55,0
508,0,0.0,0.0,106828,751,669,-1.12,-0.99,0
508,0,0.0,0.0,106941,763,663,6.44,-5.02,0
634,0,0.0,0.0,107054,754,668,0.93,-2.53,0
634,0,0.0,0.0,107169,759,664,4.33,-4.11,0
938,0,0.0,0.0,107281,748,674,-4.55,3.13,0
1143,0,0.0,0.0,107394,752,672,-0.5,1.59,0
1143,0,0.0,0.0,107511,755,673,1.33,3.61,0
1348,0,0.0,0.0,107624,754,671,0.49,-0.15,0
1348,0,0.0,0.0,107737,759,666,4.81,-3.79,0
1553,0,0.0,0.0,107850,753,674,-0.55,2.43,0
1553,0,0.0,0.0,107963,753,673,-1.34,1.12,0
1658,0,0.0,0.0,108077,742,673,-8.15,1.79,0
1658,0,0.0,0.0,108191,752,667,-0.74,-2.91,0
1963,0,0.0,0.0,108304,754,667,1.26,-1.79,0
2167,0,0.0,0.0,108417,746,661,-3.58,-4.22,0
2167,0,0.0,0.0,108535,757,671,3.55,0.54,0
2351,0,0.0,0.0,108648,754,670,1.79,-0.51,0
