pc_time_ms,emg_raw,emg_clean,emg_env,emg_ts,ppg_red_raw,ppg_ir_raw,ppg_red,ppg_ir,ppg_ts
131,0,0.0,0.0,8581,779,702,7.18,2.87,8469
133,0,0.0,0.0,8686,769,697,1.25,-1.28,8573
328,0,0.0,0.0,8789,768,696,0.07,-0.03,8676
328,0,0.0,0.0,8892,766,708,-2.87,6.81,8779
533,0,0.0,0.0,8994,769,705,0.76,4.06,8882
533,0,0.0,0.0,9097,766,693,-0.69,-3.57,8984
737,0,0.0,0.0,9199,759,701,-5.24,1.46,9087
737,0,0.0,0.0,9302,776,700,5.37,1.57,9189
1046,0,0.0,0.0,9404,765,696,-2.18,-1.52,9292
1046,0,0.0,0.0,9507,766,698,-1.42,0.48,9394
1253,0,0.0,0.0,9609,771,691,2.34,-4.3,9497
1253,0,0.0,0.0,9712,764,699,-3.21,0.43,9599
1253,0,0.0,0.0,9814,763,698,-2.43,1.11,9702
1253,0,0.0,0.0,9917,765,703,-0.36,4.43,9804
1556,0,0.0,0.0,10018,766,703,-1.3,4.18,9906
1557,0,0.0,0.0,10122,765,705,-0.41,4.03,10009
1761,0,0.0,0.0,10224,765,699,-1.31,0.28,10112
1761,0,0.0,0.0,10327,766,695,-1.12,-4.34,10214
1967,0,0.0,0.0,10428,767,687,-0.77,-9.1,10316
1967,0,0.0,0.0,10531,762,701,-3.96,1.84,10418
