ts,red_raw,ir_raw,red_f,ir_f,bpm,spo2
1,1527.0,3133.0,-188.12,-69.3,0.0,100.0
1,1561.0,3155.0,-154.14,-29.23,0.0,100.0
3,1542.0,3153.0,-137.9,-6.13,0.0,100.0
4,1771.0,3693.0,-42.22,203.4,0.0,100.0
5,1770.0,3697.0,13.66,321.29,0.0,100.0
6,1807.0,3719.0,59.07,390.07,0.0,100.0
7,1807.0,3733.0,83.97,425.99,0.0,100.0
8,1823.0,3780.0,102.24,454.1,0.0,100.0
10,2012.0,4153.0,179.09,595.4,0.0,100.0
10,1988.0,4147.0,210.7,661.28,0.0,100.0
11,1976.0,4130.0,219.8,678.1,0.0,100.0
12,1999.0,4155.0,228.39,681.42,0.0,100.0
13,1806.0,3916.0,158.08,581.03,0.0,100.0
15,1781.0,3921.0,104.76,511.58,0.0,100.0
16,1806.0,3916.0,80.65,457.96,0.0,100.0
17,1785.0,3917.0,57.25,416.9,0.0,100.0
18,1784.0,3920.0,42.06,384.75,0.0,100.0
20,1756.0,3803.0,22.15,314.92,0.0,100.0
21,1745.0,3822.0,6.15,274.28,0.0,100.0
22,1770.0,3819.0,5.85,243.46,0.0,100.0
23,1750.0,3796.0,-1.73,211.74,0.0,100.0
24,1780.0,3796.0,4.83,188.59,0.0,100.0
25,1806.0,3847.0,17.95,189.42,0.0,100.0
26,1801.0,3835.0,23.3,181.22,0.0,100.0
27,1808.0,3840.0,28.4,174.17,0.0,100.0
28,1802.0,3849.0,28.53,169.39,0.0,100.0
29,1755.0,3808.0,10.88,147.87,0.0,100.0
30,1766.0,3792.0,4.43,126.26,0.0,100.0
31,1799.0,3813.0,12.59,118.52,0.0,100.0
32,1777.0,3845.0,9.02,122.96,0.0,100.0
34,1760.0,3832.0,0.59,118.0,0.0,100.0
35,1700.0,3709.0,-26.08,67.78,0.0,100.0
36,1699.0,3716.0,-41.26,39.76,0.0,100.0
37,1703.0,3761.0,-47.64,39.0,0.0,100.0
38,1712.0,3745.0,-46.97,31.87,0.0,100.0
40,1762.0,4207.0,-27.36,194.75,0.0,100.0
41,1779.0,4243.0,-9.23,297.49,0.0,100.0
43,1781.0,4312.0,2.18,375.13,0.0,100.0
43,1788.0,4301.0,11.26,407.43,0.0,100.0
44,1823.0,4297.0,28.96,415.35,0.0,100.0
46,2887.0,5515.0,424.82,852.66,0.0,100.0
48,3040.0,5658.0,699.42,1137.82,0.0,100.0
50,3242.0,5816.0,915.47,1333.99,0.0,100.0
52,3483.0,6020.0,1106.92,1490.98,0.0,100.0
53,29027.0,25506.0,10466.25,8622.23,0.0,100.0
54,29785.0,26109.0,15910.74,12765.07,0.0,100.0
55,30625.0,26796.0,18998.72,15117.14,0.0,100.0
56,31524.0,27508.0,20676.03,16389.88,0.0,100.0
59,32466.0,28239.0,21515.57,17016.81,0.0,100.0
59,878237.0,877628.0,328573.72,325368.28,0.0,99.1
61,879413.0,879485.0,498931.09,496793.41,0.0,98.3
62,880427.0,881122.0,586354.56,585108.69,0.0,97.6
66,881331.0,882596.0,623822.5,623327.31,0.0,97.0
68,882082.0,883894.0,631514.56,631663.06,0.0,96.5
69,1153158.0,1161084.0,719969.63,722706.5,0.0,96.0
71,1153191.0,1161209.0,754669.44,758872.88,0.0,95.6
72,1153278.0,1161357.0,757536.13,762513.31,0.0,95.2
73,1153318.0,1161476.0,741926.63,747266.0,0.0,94.9
75,1153947.0,1163119.0,716210.88,722005.88,0.0,94.6
76,1153964.0,1163148.0,685019.88,690950.31,0.0,94.3
78,1153978.0,1163131.0,651375.56,657237.88,0.0,94.0
79,1153963.0,1163178.0,617070.63,622782.31,0.0,93.8
80,1154000.0,1163172.0,583185.5,588664.25,0.0,93.6
83,1153905.0,1425515.0,550268.0,650767.31,0.0,93.5
84,1153910.0,1425548.0,518696.69,671818.94,0.0,93.3
86,1153907.0,1425567.0,488620.53,668664.63,0.0,93.1
87,1153902.0,1425526.0,460093.81,651573.88,0.0,93.0
89,1153752.0,1425276.0,433060.5,626744.13,0.0,92.9
90,1153705.0,1425285.0,407544.09,598103.19,0.0,92.8
92,1153689.0,1425280.0,383497.5,567908.25,0.0,92.7
93,1153729.0,1425267.0,360869.16,537501.19,0.0,92.6
95,1153714.0,1425247.0,339556.41,507662.72,0.0,92.6
97,1153909.0,1425523.0,319566.28,478940.97,0.0,92.5
98,1153878.0,1425533.0,300714.53,451423.09,0.0,92.4
100,1153894.0,1425538.0,282967.5,425226.69,0.0,92.4
103,1153933.0,1425559.0,266272.0,400397.28,0.0,92.3
104,1154106.0,1425814.0,250613.72,377009.06,0.0,92.2
106,1154077.0,1425821.0,235838.56,354897.13,0.0,92.2
107,1154106.0,1425810.0,221931.73,334020.47,0.0,92.1
108,1154122.0,1425825.0,208839.23,314343.47,0.0,92.1
110,1154127.0,1425831.0,196511.91,295805.13,0.0,92.0
112,1154277.0,1426051.0,184960.58,278425.25,0.0,92.0
113,1154298.0,1426064.0,174074.33,262036.03,0.0,91.9
114,1154308.0,1426047.0,163816.7,246582.27,0.0,91.9
116,1154309.0,1426023.0,154153.02,232019.05,0.0,91.8
118,1154307.0,1426063.0,145051.86,218325.8,0.0,91.8
119,1154384.0,1426161.0,136512.19,205468.77,0.0,91.7
121,1154381.0,1426156.0,128462.46,193350.78,0.0,91.7
122,1154382.0,1426160.0,120881.18,181939.52,0.0,91.6
124,1154372.0,1426158.0,113739.3,171194.77,0.0,91.6
125,1154397.0,1426132.0,107027.04,161071.45,0.0,91.6
127,1154377.0,1426162.0,100699.84,151558.66,0.0,91.5
128,1154417.0,1426117.0,94761.22,142588.28,0.0,91.5
129,1154392.0,1426101.0,89158.97,134146.45,0.0,91.4
130,1154398.0,1426107.0,83890.27,126210.7,0.0,91.4
133,1154535.0,1426128.0,78981.91,118753.84,0.0,91.4
134,1154587.0,1426135.0,74362.89,111738.63,0.0,91.3
137,1154548.0,1426104.0,69983.43,105124.81,0.0,91.3
138,1154575.0,1426117.0,65866.13,98909.81,0.0,91.3
